customer_id,age,gender,state,occupation,emp_years,monthly_income,active_loans,past_defaults,cibil_score,lender_type,gold_type,gold_weight_g,gold_purity_kt,market_value_inr,recoverable_value,loan_amount_inr,ltv_ratio,interest_rate_pct,tenure_months,emi_inr,income_to_emi,total_debt_burden,loan_year,loan_month,loan_quarter,default_status
GLC000033,55,Male,Andhra Pradesh,Professional,4,101431,2,0,679,Bank,Jewellery,155.73,24,1011240.41,807836.11,694644.3,68.6923,15.27,18,43423.56,2.3359,0.8562,2023,12,4,0
GLC000034,53,Male,Andhra Pradesh,Professional,14,162122,0,2,653,Bank,Coin,152.27,22,899723.46,815157.13,601688.26,66.8748,14.04,18,37264.91,4.3505,0.2299,2022,9,3,0
GLC000035,43,Female,Kerala,Salaried,12,30644,2,0,739,NBFC,Jewellery,13.51,20,72992.56,55265.61,57012.15,78.1068,17.81,12,5221.72,5.8686,0.3408,2024,8,3,0
GLC000036,34,Male,Telangana,Farmer,2,43654,1,2,310,NBFC,Jewellery,157.18,24,1026510.17,819536.94,923859.15,90,29.92,15,74580.24,0.5853,1.7084,2024,1,1,1
GLC000037,41,Male,Maharashtra,Daily Wage,4,19561,2,0,368,NBFC,Coin,179.95,18,830777.93,751050.16,735178.65,88.4928,27.5,21,44497.59,0.4396,4.5496,2024,7,3,0
GLC000038,47,Male,Tamil Nadu,Salaried,7,67505,0,1,585,NBFC,Jewellery,128.24,22,765775.3,583320.18,688445.78,89.9018,21.19,9,83405.32,0.8094,1.2355,2023,8,3,0
GLC000039,51,Female,Maharashtra,Small Business,3,86018,2,0,529,Bank,Jewellery,174.5,22,979417.82,767513.82,658109.03,67.1939,21.62,6,116704.28,0.7371,2.7135,2022,11,4,0
GLC000040,45,Male,Tamil Nadu,Daily Wage,5,21105,1,0,300,Bank,Jewellery,45.59,20,234580.84,182999.18,175935.63,75,25.52,24,9435.92,2.2367,0.4471,2023,10,4,1
GLC000041,37,Male,Tamil Nadu,Small Business,1,53545,0,0,715,NBFC,Jewellery,180.7,22,1095241.64,841310.9,927544.81,84.6886,17.22,18,58838.41,0.91,1.0989,2023,7,3,0
GLC000042,48,Female,Telangana,Daily Wage,6,22212,3,1,304,NBFC,Jewellery,187.5,20,1001226.41,767979.84,901103.77,90,27.79,12,86869.36,0.2557,11.7328,2022,7,3,1
GLC000043,51,Male,Gujarat,Professional,4,233602,0,0,814,NBFC,Bar,60.54,22,334338.06,317572.04,261781.69,78.2985,13,3,89158,2.6201,0.3817,2024,10,4,0
GLC000044,46,Male,Maharashtra,Farmer,4,25654,1,0,573,NBFC,Jewellery,72.35,20,385807.35,339297.94,331743.01,85.9867,22.64,18,21908.07,1.171,0.854,2024,5,2,0
GLC000045,32,Male,Telangana,Salaried,8,108237,1,0,727,NBFC,Coin,143.63,24,852892.09,795763.59,732627.48,85.8992,18.66,3,251843.13,0.4298,2.3268,2024,2,1,0
GLC000046,40,Female,Andhra Pradesh,Farmer,1,11211,0,0,502,Bank,Bar,70.53,18,319208.22,298489.03,223667.28,70.0694,21.67,18,14665.6,0.7644,1.3081,2022,4,2,0
GLC000047,52,Male,Kerala,Small Business,6,31584,2,2,403,Bank,Jewellery,197.95,22,1061610.38,818695.13,796207.78,75,24.75,9,97838.94,0.3228,6.1955,2024,5,2,1
GLC000048,26,Female,Karnataka,Small Business,6,58414,1,0,489,Bank,Jewellery,61.2,20,327034.43,250643.42,216074.59,66.0709,24.26,21,12729.64,4.5888,0.2179,2022,10,4,0
GLC000049,21,Female,Tamil Nadu,Farmer,1,25264,1,3,300,NBFC,Bar,10.63,20,58937.4,54157.01,53043.66,90,27.84,21,3219.59,7.847,0.1274,2023,3,1,1
GLC000050,58,Female,Telangana,Professional,6,308631,0,1,784,Bank,Jewellery,164.44,24,1091863.26,913592.15,690702.87,63.2591,9.02,3,233704.12,1.3206,0.7572,2022,10,4,0
GLC000051,47,Male,Tamil Nadu,Salaried,12,129113,0,0,786,Bank,Coin,13.44,20,73103.93,66674.26,51450.25,70.3796,11.73,15,3704.33,34.8546,0.0287,2022,11,4,0
GLC000052,48,Female,Maharashtra,Professional,9,146423,3,0,797,NBFC,Coin,194.98,20,965829.47,905506.21,792856.17,82.0907,14.8,12,71487.06,2.0482,1.4647,2024,7,3,0
GLC000053,30,Female,Karnataka,Professional,15,238779,0,0,821,Bank,Jewellery,121.99,20,666839.27,519766.53,460928.64,69.1214,10,18,27682.03,8.6258,0.1159,2022,7,3,0
GLC000054,50,Male,Gujarat,Small Business,10,51772,0,0,689,Bank,Jewellery,90.66,20,438387.31,383273.97,313151.02,71.4325,16.85,12,28538.57,1.8141,0.5512,2022,12,4,0
GLC000055,45,Male,Gujarat,Professional,4,301365,1,1,751,NBFC,Jewellery,147.85,22,897842.93,731762.8,653449.19,72.7799,14.55,6,113576.4,2.6534,0.3769,2024,8,3,0
GLC000056,24,Female,Kerala,Daily Wage,2,25816,2,0,300,NBFC,Jewellery,144.59,24,930230.89,796455.61,828282.24,89.0405,28.89,12,80295.29,0.3215,6.2206,2023,4,2,1
GLC000057,57,Male,Tamil Nadu,Farmer,4,32164,0,1,394,NBFC,Jewellery,80.76,22,441035.35,384915.63,362980.03,82.3018,29.45,18,25189.02,1.2769,0.7831,2023,1,1,1
GLC000058,43,Male,Rajasthan,Daily Wage,0,8701,0,3,300,Bank,Jewellery,46.72,24,294700.27,233298.2,221025.2,75,25.03,12,21010.38,0.4141,2.4147,2024,12,4,1
GLC000059,37,Female,Andhra Pradesh,Farmer,6,35963,3,0,303,NBFC,Jewellery,169.76,20,900332.07,676656.61,797186.43,88.5436,27.98,12,76925.46,0.4675,6.4171,2022,12,4,1
GLC000060,37,Female,Karnataka,Small Business,2,47861,1,0,473,NBFC,Jewellery,184.79,18,837282.93,734598.45,741737.23,88.5886,26.06,6,133187.42,0.3594,2.7828,2022,3,1,0
GLC000061,21,Male,Kerala,Farmer,5,28916,1,3,300,NBFC,Jewellery,199,20,1088869.17,841400.77,979982.25,90,28.04,12,94593.34,0.3057,3.2713,2022,8,3,1
GLC000062,48,Male,Karnataka,Salaried,16,35154,3,1,574,NBFC,Jewellery,75.83,22,435241.17,350880.54,365257.87,83.9208,21.78,18,23968.97,1.4666,2.0455,2024,7,3,0
GLC000063,44,Male,Tamil Nadu,Farmer,0,16460,4,1,300,Bank,Coin,117.5,20,617655.83,558098.9,446086.48,72.2225,25.66,12,42540.94,0.3869,10.338,2023,9,3,1
GLC000064,39,Female,Gujarat,Farmer,3,23902,1,1,469,NBFC,Jewellery,196.31,20,1079296.12,829067.06,971366.51,90,25.85,12,92723.89,0.2578,3.8793,2022,5,2,1
GLC000065,56,Female,Tamil Nadu,Small Business,2,69847,0,0,677,NBFC,Jewellery,85.43,18,409371.55,332437.13,325001.71,79.3904,18.87,18,20872.02,3.3464,0.2988,2023,1,1,0
GLC000066,26,Female,Tamil Nadu,Daily Wage,5,18100,2,2,300,NBFC,Jewellery,159.14,20,839594.68,712393.65,755635.21,90,26.5,24,40900.32,0.4425,4.5194,2022,7,3,1
GLC000067,35,Male,Kerala,Salaried,5,33555,1,1,613,Bank,Jewellery,188.25,22,1020422.38,818796.17,707742.51,69.3578,18.01,15,53044.67,0.6326,1.5808,2022,4,2,0
GLC000068,32,Female,Karnataka,Daily Wage,7,8012,3,2,300,NBFC,Jewellery,41.16,22,237227.44,181527.89,210938.13,88.9181,29.14,21,12941.45,0.6191,4.8458,2023,8,3,1
GLC000069,38,Male,Uttar Pradesh,Professional,3,101943,1,0,733,NBFC,Jewellery,146.29,18,726608.19,599392.99,631761.12,86.9466,18.19,3,217003.35,0.4698,2.1287,2024,1,1,0
GLC000070,42,Male,Kerala,Salaried,1,130835,2,0,685,Bank,Jewellery,142.07,24,901557.48,786647.7,604823.36,67.0865,15.29,15,44553.02,2.9366,0.6811,2022,7,3,0
GLC000071,46,Male,Kerala,Farmer,12,43691,1,0,612,NBFC,Jewellery,80.85,22,448837.47,341212.08,389238.59,86.7215,20.59,6,68824.22,0.6348,1.5752,2022,8,3,1
GLC000072,38,Male,Andhra Pradesh,Daily Wage,2,19573,3,2,300,Bank,Jewellery,196.29,20,1070760.6,840607.17,803070.45,75,25.45,21,47784.95,0.4096,7.3241,2024,5,2,1
GLC000073,32,Male,Telangana,Salaried,6,107068,0,1,726,Bank,Coin,174.03,18,808052.62,747624.47,554589.95,68.6329,14.09,9,65295.07,1.6398,0.6098,2024,11,4,0
GLC000074,60,Male,West Bengal,Salaried,4,80794,2,0,710,NBFC,Jewellery,198.88,22,1070367.87,886651.82,865239.36,80.8357,18.94,15,65231.91,1.2386,1.6148,2023,4,2,0
GLC000075,68,Female,Kerala,Salaried,4,55635,0,0,694,Bank,Jewellery,112.26,20,583274.14,475512.04,420750.63,72.136,14.05,21,22716.21,2.4491,0.4083,2022,1,1,0
GLC000076,43,Female,Telangana,Salaried,13,123531,0,0,723,NBFC,Jewellery,48.32,20,261144.22,206593.8,201200.65,77.0458,17.39,6,35254.68,3.504,0.2854,2023,9,3,0
GLC000077,33,Male,Andhra Pradesh,Daily Wage,3,12733,2,1,341,Bank,Jewellery,59.47,22,361247.1,298218.55,270935.32,75,25.17,15,21239.78,0.5995,3.3362,2024,5,2,1
GLC000078,58,Male,Kerala,Farmer,4,52509,0,0,395,NBFC,Jewellery,159.35,22,934571.18,759515.03,841114.06,90,28.5,9,104902.22,0.5006,1.9978,2022,8,3,0
GLC000079,26,Male,Tamil Nadu,Daily Wage,4,23012,0,0,300,NBFC,Bar,75.51,20,412463.5,393731.16,371217.15,90,27.23,12,35684.98,0.6449,1.5507,2023,3,1,1
GLC000080,38,Female,Rajasthan,Salaried,2,108582,0,0,587,Bank,Coin,46.92,24,303795,280199.87,195173.1,64.245,18.11,12,17903.69,6.0648,0.1649,2024,1,1,0
GLC000081,34,Male,Gujarat,Salaried,1,67318,0,0,654,Bank,Jewellery,184.77,22,1010130.38,825060.6,644162.16,63.7702,13.43,9,75638.13,0.89,1.1236,2024,4,2,0
GLC000082,29,Female,Tamil Nadu,Farmer,4,49035,0,1,372,NBFC,Bar,71.49,22,438134.01,424422.28,383916.68,87.6254,29.55,18,26661.1,1.8392,0.5437,2022,12,4,1
GLC000083,38,Male,Uttar Pradesh,Daily Wage,4,14629,3,1,300,NBFC,Jewellery,20.92,22,112198.89,90490.21,99797.88,88.9473,27.5,15,7937.31,1.8431,1.6277,2022,2,1,1
GLC000084,32,Male,Kerala,Farmer,1,48556,1,2,300,NBFC,Coin,115.48,22,640067.25,600339.5,576060.52,90,26.51,9,71282.65,0.6812,1.4681,2023,11,4,1
GLC000085,42,Male,Tamil Nadu,Farmer,2,36057,1,0,432,Bank,Jewellery,112.29,20,607027.14,471974.32,455270.36,75,24.65,21,26909.23,1.3399,0.7463,2024,1,1,0
GLC000086,42,Male,Maharashtra,Salaried,5,110982,0,0,703,NBFC,Jewellery,87.35,22,474067.4,388977.89,426660.66,90,15.91,12,38693.12,2.8683,0.3486,2022,11,4,0
GLC000087,35,Female,West Bengal,Salaried,12,46933,2,1,516,NBFC,Jewellery,92.05,22,532532.94,458280.36,456571.91,85.7359,25.73,18,30841.69,1.5217,1.3143,2024,8,3,1
GLC000088,37,Female,Andhra Pradesh,Professional,7,219024,0,0,851,Bank,Jewellery,47.85,24,304689.88,247306.62,214689.97,70.4618,11.68,15,15452.32,14.1742,0.0706,2023,2,1,0
GLC000089,39,Male,Gujarat,Small Business,0,23981,3,1,462,NBFC,Jewellery,62.69,22,368857.69,310883.32,318349.27,86.3068,25.15,21,18895.25,1.2692,2.3638,2022,5,2,1
GLC000090,50,Female,Rajasthan,Daily Wage,8,17979,4,2,300,Bank,Jewellery,99.88,22,544266.45,435782.5,369304.92,67.8537,24.59,9,45351.79,0.3964,10.0899,2024,2,1,1
GLC000091,40,Male,Kerala,Salaried,7,94767,0,1,762,NBFC,Bar,194.56,22,1067708.87,1007625.08,824938.57,77.2625,11.06,12,72932.53,1.2994,0.7696,2022,1,1,0
GLC000092,51,Male,Tamil Nadu,Salaried,3,58983,2,0,825,Bank,Jewellery,196.12,22,1062760.56,907675.22,649222.36,61.0883,9.52,18,38847.07,1.5183,1.3172,2022,5,2,0
GLC000093,48,Female,Kerala,Small Business,0,47025,2,1,365,Bank,Jewellery,22,18,98243.15,85124.02,70656.18,71.9197,25.64,12,6737.42,6.9797,0.2865,2024,8,3,0
GLC000094,48,Male,Telangana,Salaried,5,62375,2,0,688,Bank,Jewellery,181.74,22,1091151.02,862350.83,674443.72,61.8103,13.57,6,116897.96,0.5336,3.7482,2024,5,2,0
GLC000095,57,Male,Karnataka,Small Business,6,52815,1,0,706,Bank,Jewellery,90.82,20,446709.91,392301.49,283143.06,63.3841,12.74,9,33153.87,1.593,0.6277,2024,12,4,0
GLC000096,29,Male,Kerala,Small Business,5,74577,0,0,747,Bank,Jewellery,94.53,24,582427.42,442074.52,388644.5,66.7284,14.37,9,45809.32,1.628,0.6143,2022,10,4,0
GLC000097,36,Male,Andhra Pradesh,Small Business,10,83109,0,1,433,Bank,Jewellery,75.06,20,363658.46,281638.01,260262.36,71.5678,25.4,9,32063.95,2.592,0.3858,2024,5,2,0
GLC000098,61,Male,Karnataka,Daily Wage,11,11450,2,2,300,Bank,Jewellery,176.48,22,1049457.09,880752.46,714129.31,68.0475,24.86,12,67825.34,0.1688,11.8472,2022,2,1,0
GLC000099,39,Female,Maharashtra,Daily Wage,1,8848,1,2,300,Bank,Jewellery,94.15,18,470383.35,394162.22,352787.51,75,26.76,9,43697.7,0.2025,4.9387,2024,7,3,1
GLC000100,21,Male,Telangana,Daily Wage,6,27541,1,1,343,NBFC,Jewellery,6.11,24,37084.07,32319.69,33375.66,90,28.41,24,1838.92,14.9767,0.0668,2022,2,1,1
GLC000101,39,Male,Kerala,Salaried,11,51478,0,0,697,Bank,Coin,187.4,20,948621.64,853584.1,683450.59,72.0467,15.18,12,61745.16,0.8337,1.1994,2022,4,2,0
GLC000102,43,Male,Andhra Pradesh,Farmer,2,37927,2,0,434,NBFC,Jewellery,194.95,20,1026175.78,795472.2,894742.16,87.1919,28.92,12,86751.21,0.4372,4.5746,2024,3,1,1
GLC000103,21,Male,Kerala,Small Business,1,67377,0,0,557,Bank,Jewellery,89.32,22,484547.12,379129.55,343041.92,70.7964,20.33,15,26090.41,2.5824,0.3872,2022,11,4,1
GLC000104,56,Female,Telangana,Professional,5,298299,0,0,866,Bank,Coin,90.04,18,428262.98,387666,255839.17,59.7388,10.38,18,15409.75,19.3578,0.0517,2023,5,2,0
GLC000105,34,Female,Maharashtra,Farmer,4,20058,1,0,539,Bank,Bar,8.41,24,52942.99,48384.11,37114.2,70.1022,23.53,12,3501.07,5.7291,0.1745,2024,11,4,0
GLC000106,45,Female,Telangana,Small Business,1,33390,1,1,555,NBFC,Coin,44.35,22,250401.35,232613.49,222220.18,88.7456,20.41,21,12672.77,2.6348,0.3795,2024,5,2,1
GLC000107,39,Male,Kerala,Salaried,3,36308,0,0,663,NBFC,Coin,28.42,24,182762.27,160030.65,155815.98,85.2561,18.54,6,27391.56,1.3255,0.7544,2022,8,3,0
GLC000108,27,Female,Karnataka,Farmer,1,34341,0,0,341,Bank,Jewellery,160.13,24,1007096.85,847655.71,751643.71,74.6347,25.04,15,58876.98,0.5833,1.7145,2024,5,2,0
GLC000109,30,Male,Gujarat,Daily Wage,0,13291,1,3,300,Bank,Bar,105.51,18,519075.35,472603.64,389306.51,75,25.13,9,47910.66,0.2774,3.6047,2023,6,2,1
GLC000110,31,Male,Telangana,Farmer,6,24092,4,0,448,NBFC,Jewellery,61.42,22,363388.16,281720.94,323611.69,89.054,28.75,9,40400.05,0.5963,6.7076,2023,4,2,1
GLC000111,53,Female,Gujarat,Farmer,0,31240,2,0,491,Bank,Jewellery,185.29,24,1171464.82,1026622.44,829490.81,70.808,23.17,21,48422.31,0.6452,3.1,2024,3,1,0
GLC000112,40,Male,Tamil Nadu,Professional,9,136099,0,0,857,NBFC,Jewellery,130.99,22,730716.53,637456.64,631425.31,86.4118,13.25,12,56471.28,2.4101,0.4149,2024,11,4,0
GLC000113,36,Male,Tamil Nadu,Salaried,1,65192,0,1,564,NBFC,Jewellery,187.65,22,1002123.03,794621.15,872070.51,87.0223,20.33,12,80921.62,0.8056,1.2413,2024,11,4,1
GLC000114,31,Female,Andhra Pradesh,Salaried,8,71410,0,0,699,NBFC,Jewellery,54.58,22,306903.99,251857.93,233402.63,76.0507,18.71,21,13118.76,5.4433,0.1837,2022,2,1,0
GLC000115,55,Female,Karnataka,Salaried,6,108994,0,0,736,Bank,Jewellery,173.96,24,1129996.84,953666.57,744736.85,65.9061,13.61,12,66731.19,1.6333,0.6122,2024,12,4,0
GLC000116,58,Male,Tamil Nadu,Salaried,5,45235,0,0,631,Bank,Jewellery,171.69,18,850147.35,730269.41,556987.64,65.5166,20.64,9,67330.81,0.6718,1.4885,2023,12,4,0
GLC000117,55,Female,Andhra Pradesh,Farmer,1,45625,1,3,300,NBFC,Jewellery,179.94,24,1181467.35,919870.34,1063320.62,90,29.35,12,103320.4,0.4416,2.2646,2023,4,2,1
GLC000118,47,Female,Maharashtra,Professional,5,205102,2,0,861,Bank,Jewellery,164.4,22,924176.63,770363.12,528417.4,57.1771,12.39,6,91279.42,2.247,0.8901,2022,11,4,0
GLC000119,45,Female,Maharashtra,Small Business,5,29700,0,0,633,Bank,Jewellery,162.2,22,866361.55,737390.65,624081.81,72.0348,19.34,15,47169.71,0.6296,1.5882,2022,8,3,0
GLC000120,28,Male,Kerala,Salaried,12,70857,0,0,691,NBFC,Jewellery,170.56,22,1038726.18,826938.71,885305.28,85.2299,17.98,6,155384.58,0.456,2.1929,2023,2,1,0
GLC000121,39,Female,West Bengal,Professional,4,169663,3,0,751,Bank,Jewellery,179.71,24,1152891.31,989841.91,783103.73,67.9252,12.15,12,69632.78,2.4365,1.2313,2022,3,1,0
GLC000122,34,Female,Karnataka,Farmer,7,17638,0,1,404,NBFC,Bar,87.63,20,455063.06,412849.35,388531.93,85.3798,29.76,24,21675.95,0.8137,1.2289,2022,8,3,1
GLC000123,21,Female,Andhra Pradesh,Daily Wage,3,19057,1,2,300,NBFC,Bar,47.71,20,258452.13,234285.45,232606.92,90,26.46,9,28777.46,0.6622,1.5101,2022,3,1,1
GLC000124,53,Female,Uttar Pradesh,Farmer,5,11682,0,1,337,Bank,Jewellery,19.06,20,93401.84,72035.48,68260.4,73.0825,24.96,24,3641.79,3.2078,0.3117,2023,9,3,1
GLC000125,34,Male,Kerala,Small Business,7,43261,0,0,550,Bank,Coin,58.65,20,287301.14,262962.42,210944.83,73.4229,20.38,15,16048.68,2.6956,0.371,2023,1,1,0
GLC000126,55,Male,Karnataka,Salaried,10,102325,1,0,841,Bank,Jewellery,173.27,22,1022310.12,787033.01,658032.4,64.3672,12.2,9,76881.5,1.3309,0.7513,2023,4,2,0
GLC000127,51,Female,Gujarat,Salaried,2,70083,1,0,748,Bank,Coin,199.43,24,1168833.7,1029824.2,786006.77,67.2471,13.38,12,70344.19,0.9963,1.0037,2023,1,1,0
GLC000128,48,Male,Andhra Pradesh,Daily Wage,0,23831,1,0,441,Bank,Jewellery,87.5,20,426139.36,321811.25,319604.52,75,26.02,21,19108,1.2472,0.8018,2024,4,2,0
GLC000129,48,Male,Telangana,Small Business,9,46638,0,2,300,Bank,Coin,96.26,22,568982.94,530977.07,426737.2,75,24.79,6,76352.95,0.6108,1.6371,2023,3,1,0
GLC000130,35,Female,Rajasthan,Small Business,3,54426,1,0,622,Bank,Jewellery,81.58,24,527600.64,443567.18,331659.26,62.8618,18.55,18,21248.83,2.5614,0.3904,2022,5,2,0
GLC000131,62,Male,Tamil Nadu,Farmer,4,14433,2,0,574,Bank,Jewellery,112.43,22,636041.17,513780.14,455725.41,71.6503,17.45,21,25339.29,0.5696,3.5113,2024,1,1,0
GLC000132,42,Male,Tamil Nadu,Daily Wage,2,27755,3,0,382,NBFC,Jewellery,98.21,22,553879.4,482771.33,495837.27,89.5208,29.54,12,48225.63,0.5755,5.2126,2024,7,3,1
GLC000133,45,Male,Andhra Pradesh,Farmer,6,22981,3,0,449,NBFC,Jewellery,138.38,18,643240.75,523166.27,516533.26,80.3017,29,18,35728.86,0.6432,4.6641,2022,1,1,1
GLC000134,34,Male,Andhra Pradesh,Professional,13,120499,1,0,888,Bank,Jewellery,58.56,20,299246.58,236682.6,185272.54,61.913,9.81,15,13174.63,9.1463,0.1093,2022,12,4,0
GLC000135,31,Female,Kerala,Farmer,0,16717,1,2,300,NBFC,Jewellery,83.58,20,431937.12,379836.7,388743.41,90,27.16,15,30853.39,0.5418,1.8456,2022,10,4,0
GLC000136,47,Female,Tamil Nadu,Small Business,2,71350,0,0,639,NBFC,Coin,83.51,22,456778.4,395436.75,392638.03,85.9581,21.11,9,47552.94,1.5004,0.6665,2022,10,4,0
